Hanji,POJ,English,Chinese
"刁意故","thiau-ì-kò͘","Intentionally.","故意、存心。"
"刁持","tiau-tî","Intentionally.","故意、存心。"
"刁故意","tiau-kò͘-ì","Intentionally.","存心、故意。"
"刁難","thiau-lân","To make things difficult.","故意為難。"
"分伻","pun-pheⁿ","To distribute.","分配。"
"分別","hun-pia̍t","To distinguish.","區分、辨別。"
"分寸","hun-chhùn","Proper limits in behavior.","人與人之間，行為動作或應對說話所應該有的限度。"
"分張","pun-tiuⁿ","To share (food).","通常指小孩子慷慨大方願意將食物分給他人。"
"分攤","hun-thoaⁿ","To share (expenses).","分別攤付。"
"分散","hun-sòaⁿ","To disperse.","分離散開。"
"分數","hun-sò͘","Score.","表示成績高低的數字。"
"分明","hun-bêng","Clearly.","明明。明顯、顯然。"
"分派","hun-phài","To assign.","分發派遣。"
"分發","hun-hoat","To distribute.","分配。"
"分的","pun--ê","An adopted child.","收養的小孩。"
"分身","hun-sin","To be in two places at once.","指一個人在同一段時間內要分出額外的心力來處理別的事務。"
"分配","hun-phòe/hun-phè","To distribute.","區分支配。"
"分錢","pun-chîⁿ","To beg for money.","乞丐向人要錢。"
"分鐘","hun-cheng","Minute (time).","計算時間的單位。六十分鐘為一小時。"
"分開","hun-khui","To separate.","分離、分散。"
"分類","hun-lūi","To classify.","依照事物的不同性質來做區隔。"
"切手","chhiat-chhiú","Postage stamp.","郵票。源自日語「切手（きって）」。"
"力量","le̍k-liōng","Strength.","力氣、能力。"
"力頭","la̍t-thâu","Strength.","力氣、力道。"
"勻仔是","ûn-á-sī","Take it easy.","慢慢來、不慌不忙。"
"勻勻仔","ûn-ûn-á","Slowly.","慢慢地、謹慎小心地。"
"勻勻仔火","ûn-ûn-á-hóe/ûn-ûn-á-hé","Low heat.","慢火、小火。"
"勼手","kiu-chhiú","To stop.","收手。結束正在進行的動作。"
"勼水","kiu-chúi","To shrink (of clothes).","縮水。形容衣物經水洗過後而縮小尺寸。"
"勼跤","kiu-kha","To back out.","抽腳、抽腿、退卻、裹足。因突發狀況而打消本來的意願。"
"勾引","kau-ín","To seduce.","引誘。"
"勾結","kau-kiat","To collude.","暗中串通，做不正當的事。"
"化學","hòa-ha̍k","Chemistry.","研究物質的結構、性質及變化反應的科學。"
"化緣","hòa-iân","To beg for alms (for monks).","和尚、尼姑等向人乞求布施，而施與者因此和仙佛結下善緣，所以稱為「化緣」。"
"化身","hòa-sin","Incarnation.","佛、菩薩為教化眾生而顯現的面目形態。"
"十一哥","cha̍p-it-ko","Bachelor.","單身漢。"
"十二分","cha̍p-jī-hun/cha̍p-lī-hun","Extremely.","非常、很。用來形容程度極深。"
"十二生相","cha̍p-jī seⁿ-siùⁿ/cha̍p-lī siⁿ-siùⁿ","The twelve zodiac animals.","十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。"
"十全","cha̍p-chn̂g","Perfect.","完滿、齊全。完美無缺憾。"
"十全","si̍p-choân","Perfect.","用於中醫藥名。"
"十八變","cha̍p-peh-piàn/cha̍p-poeh-piàn","Eighteen changes (unpredictable).","十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。"
"十八骰仔","si̍p-pat-tâu-á","Dice.","骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。"
"十字架","si̍p-jī-kè/si̍p-lī-kè","Cross.","西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。"
"十字路","si̍p-jī-lō͘/si̍p-lī-lō͘","Crossroads.","縱橫兩條道路交接之處。"
"十花五色","cha̍p-hoe-gō͘-sek","Variegated.","五花八門、形形色色。"
"十足","cha̍p-chiok","Completely.","完全、充分。"
"千千萬萬","chhian-chhian-bān-bān","Thousands upon thousands.","成千上萬，形容數量很多。"
"千斤秤","chhian-kin-chhìn/chhian-kun-chhìn","Jack (lifting device).","千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。"
"千萬","chhian-bān","Be sure to.","務必、絕對。有再三叮嚀的意思。"
"千里眼","Chhian-lí-gán","Clairvoyant (a deity).","神話傳說中的天神，是媽祖座前的神將，雙眼大而暴突，能看到極遠、極細、極隱蔽的東西。"
"千里鏡","chhian-lí-kiàⁿ","Telescope.","望遠鏡。用來觀察天體或者是遠處物體的儀器。"
"千金","chhian-kim","A daughter (polite term).","禮貌性的稱呼別人的女兒。"
"午時","gō͘-sî","Noon.","上午十一點到下午一點的時段為午時。一般大多指中午十二時左右。"
"午時水","gō͘-sî-chúi","Water drawn at noon on the Dragon Boat Festival.","指端午節的中午由井裡打上來的水，據說飲用此水有益身體。"
"卜卦","pok-kòa","To divine.","占卜。推斷未來的吉凶禍福。"
"又閣","iū-koh","Again.","又、再，表示動作或現象的重複。"
"及時","ki̍p-sî","In time.","把握時機、正趕上需要、正趕上時機。"
"及格","ki̍p-keh","To pass (an exam).","合格。符合規定的標準或資格。"
"友的","iú--ê","A term for friends, especially among gang members.","原指互不認識的朋友彼此之間的稱呼。這本來是對「朋友」一詞比較戲謔、省略的說法，後來專指遊手好閒、無所事事的幫派份子的互稱。"
"反來反去","péng-lâi-péng-khì","To toss and turn.","指人輾轉難眠，睡不著覺。"
"反倒轉","hoán-tò-tńg","On the contrary.","反倒、反而。"
"反僥","hoán-hiau","To break a promise.","違約、反悔。"
"反天","hoán-thiⁿ","The weather is changing.","變天。天氣由晴轉變成陰或雨。"
"反對","hoán-tùi","To oppose.","不贊成。"
"反常","hoán-siông","Abnormal.","不同於平時或過去的行為習慣、態度。"
"反悔","hoán-hóe","To regret.","對已經約定、允諾的事情，中途改變心意，感到後悔。"
"反抗","hoán-khòng","To resist.","心中不服而予以抗拒。"
"反桌","péng-toh","To flip a table.","掀桌子、翻桌子。將餐桌或是工作桌掀翻開來，通常是尋隙挑釁的行為。"
"橫直","hoâiⁿ-ti̍t","Anyway.","無論如何。"
"反爿","péng-pêng","To turn over.","翻身、翻轉。"
"反症","hoán-chèng","Relapse.","指病情轉好又惡化的轉變。引申為事情變化得很快。"
"反白睚","péng-pe̍h-kâiⁿ","To roll one's eyes.","翻白眼。黑眼球往上吊，露出白眼球，表示不以為然、不滿的情緒或是快要死的樣子。"
"反目","hoán-bo̍k","To fall out with each other.","不和。通常指夫妻或朋友之間失和。"
"反省","hoán-séng","To reflect on oneself.","自我檢討過去言語、行為的是非好壞。"
"反肚","péng-tō͘","To turn belly up (like a dead fish).","肚皮朝天。魚死時都會翻白肚，所以多用來指魚死了。"
"反肚痧","péng-tō͘-soa","A type of acute gastroenteritis.","絞腸痧。病名。多因飲食不潔引起胃腸閉塞所造成，患者會有腹中絞痛，吐不出、瀉不出的症狀。"
"反背","hoán-pōe","To betray.","違背、反叛、辜負、背叛。"
"反腹","péng-pak","To feel nauseous.","反胃。有噁心、嘔吐的症狀。"
"反船","péng-chûn","To capsize.","翻船。"
"反車","péng-chhia","To overturn (a vehicle).","翻車。"
"口供","kháu-keng","Confession.","訴訟關係人在被審問的時候，對案情的相關陳述。"
"口座","kháu-chō","Bank account.","帳戶、戶頭。在金融機構開一個存提款戶。源自日語「口座（こうざ）」。"
"口氣","kháu-khì","Tone of voice.","說話的語氣。"
"口灶","kháu-chàu","Household.","戶、住戶。計算家庭的單位。"
"口琴","kháu-khîm","Harmonica.","樂器名。屬於簧片風琴的最小型樂器，上面有兩行並列的小孔，裡面裝有銅製的笛簧，用口吹吸，就能發出各種聲調。"
"口白","kháu-pe̍h","Aside.","旁白。戲曲中人物的內心獨白以及對話。"
"口試","kháu-chhì","Oral examination.","用口頭問答的方式，來觀察應考人的反應、言談內容等等的考試方法。"
"口面","kháu-bīn","Outside.","外面。外頭、外部。"
"口音","kháu-im","Accent.","各地方所特有的說話方式及腔調。"
"口頭","kháu-thâu","Oral.","指用言語表示，不是用文字或者行動來表明。"
"土人","thó͘-lâng","A rustic person.","比較粗魯、率直的人。"
"土公仔","thó͘-kong-á","Grave worker.","處理喪葬墓穴的工人。"
"土包仔","thó͘-pau-á","Country bumpkin.","土包子、鄉巴佬。形容缺乏見識、知識的人。"
"土匪","thó͘-húi","Bandit.","為非作歹、打家劫舍的匪徒。"
"土地","thó͘-tē/thó͘-tōe","Soil.","指土壤或者是地表上面的部分。"
"土地公","Thó͘-tī-kong","The Earth God.","民間信仰中守護地方的神，又叫做「福德正神」。"
"土師","thó͘-sai","A self-taught craftsman.","無師自通的技術工。"
"土性","thó͘-sèng","Rustic personality.","形容人的個性較粗魯、率直。"
"土想","thó͘-siūⁿ","To know without thinking.","指事情不需細想即可知道。"
"土木","thó͘-bo̍k","Civil engineering.","指道路、橋樑或建築物的興建、改建、維護等工作。"
"土檨仔","thó͘-soāiⁿ-á","A native variety of mango.","土芒果。還沒經過改良的芒果，味道比改良品種酸，果肉較少，纖維較粗，生芒果常用來醃製成蜜餞。"
"土直","thó͘-ti̍t","Straightforward.","形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。"
"土菝仔","thó͘-poa̍t-á","A native variety of guava.","土芭樂。瓜果類。番石榴的一種，臺灣土生種，果實形體小，晒乾後可以泡茶，中醫療效上可以治糖尿病。"
"土話","thó͘-ōe","Vulgar language.","粗俗不堪的話。"
"土雞仔","thó͘-ke-á/thó͘-koe-á","Free-range chicken.","土雞。不是人工圈養吃飼料的雞。"
"夏至","hē-chì","Summer Solstice (solar term).","約當國曆六月廿一日或廿二日。這天晝最長夜最短，也是最熱的時期。"
"大丈夫","tāi-tiōng-hu","A man of courage and principle.","有志氣而且勇敢剛毅的男子。"
"大下","tōa-ē","With great force.","指很用力。"
"大不了","tāi-put-liáu","At most.","頂多、充其量。至多也不過如此。"
"大主大意","tōa-chú-tōa-ì","To act on one's own authority.","擅作主張。指不聽從、不遵守上級或長輩的指示，擅自做決定。"
"大人","tāi-jîn/tāi-lîn","Police officer (Japanese-era term).","日治時代老百姓對警察的稱呼。源自日語。"
"大人","tōa-lâng","Adult.","成年人。"
"大代誌","tōa tāi-chì","A big matter.","大事情。"
"大伯","tōa-peh","Father's elder brother.","稱謂。對人尊稱父親的長兄。"
"大位","tōa-ūi","Seat of honor.","主位。宴會用餐時，最重要的席位，通常由德高望重者，或年長長輩入座。"
"大使","tāi-sài","Ambassador.","地位最高的外交官員。派駐在邦交國，代表著國家和國家元首。"
"大便","tāi-piān","To defecate.","排泄糞便。"
"大兄","tōa-hiaⁿ","Eldest brother.","大哥、長兄。"
"大前年","tōa-chûn--nî","The year before last year.","前年的前一年，即今年以前的第三年。"
"大力","tōa-la̍t","With great force.","形容很用力，或者出重力。"
"大厝","tōa-chhù","A large house.","大房子、廣廈。"
"大同仔","tāi-tông-á","Bell pepper.","青椒。瓜果類。主莖呈木質化，為低木狀，形狀像辣椒，可以食用。"
"大名","tōa-miâ","Your esteemed name.","用來尊稱別人的名字。"
"大哥","tōa-ko","Eldest brother.","稱謂。兄弟中排行最大的、最年長的。"
"大四界","tōa-sì-kè/tōa-sì-kòe","Everywhere.","到處、每個地方。"
"大囝","tōa-kiáⁿ","Eldest son.","長子、大兒子。稱謂。對長子的稱呼。"
"大壽","tōa-siū","A major birthday (50+).","指重要的生日，多用於五十歲以上逢十的生日。"
"大妗","tōa-kīm","Wife of the eldest maternal uncle.","大舅媽。稱謂。大舅的妻子。"
"大姆","tōa-ḿ","Wife of father's elder brother.","大伯母。稱謂。用來稱呼父親大哥的妻子。"
"大姊","tōa-chí","Eldest sister.","稱謂。用來稱呼姊妹之中年紀最大的。"
"大姑","tōa-ko͘","Father's eldest sister.","稱謂。指父親的姊妹中年紀最長的。"
"大姨","tōa-î","Mother's eldest sister.","稱謂。母親的大姊。"
"大娘姑","tōa-niû-ko͘","Husband's elder sister.","大姑子。稱謂。已婚婦女對他人稱呼自己丈夫的姊姊。"
"大孫","tōa-sun","Eldest grandson.","長孫。排行最大的孫子。"
"大學","tāi-ha̍k","University.","國家學制上最高單位，凡具備三學院者稱為大學，不足者則稱為獨立學院。"
"大官","ta-koaⁿ","Father-in-law (husband's father).","公公。指丈夫的父親，用於背稱及描述，面稱時則與丈夫一致。"
"大官虎","tōa-koaⁿ-hó͘","A corrupt and powerful official.","權臣、官僚。仗著官位權勢擺威風、魚肉百姓的人。"
"大家","ta-ke","Mother-in-law (husband's mother).","婆婆。稱謂。婦女對他人稱自己丈夫的母親。"
"大家口","tōa-ke-kháu","A large family.","大家庭、大家族。人口數眾多的家庭、家族。"
"大家官","ta-ke-koaⁿ","Parents-in-law (husband's parents).","公婆。稱謂。指丈夫的父母親。"
"大富","tōa-pù","Very wealthy.","表示非常富有的狀況。"
"大富大貴","tōa-hù-tōa-kùi","Extremely wealthy and noble.","非常富有且地位顯貴。"
"大寒","tāi-hân","Major Cold (solar term).","約當國曆一月二十或二十一日的時候，是一年之中最冷的日子。"
"大寒","tōa-kôaⁿ","Extreme cold.","極冷，嚴寒。"
"大廣絃","tōa-kóng-hiân","A type of two-stringed fiddle.","胡琴。用大椰子殼或是質地較輕的木頭(如林投木)做琴箱的胡琴，聲音比「殼仔絃」(khak-á-hiân)低沉、哀怨。"
"大廳","tōa-thiaⁿ","Living room.","客廳。"
"大後年","tōa-āu--nî","The year after next year.","後年之後的第一年。"
"大後日","tōa-āu--ji̍t/tōa-āu--li̍t","The day after tomorrow.","大後天。"
"大心氣","tōa-sim-khùi","Short of breath.","呼吸急促，喘不過氣來。"
"大戲","tōa-hì","A major form of traditional opera.","各項表演元素(如角色、情節、音樂)都較為複雜、完整的傳統戲曲，皆可稱為「大戲」。使用上多指曾流行於臺灣的歌仔戲、高甲戲、亂彈等。"
"大房","tōa-pâng","The eldest son's branch of a family.","長房。指家族中嫡長子所屬的家系。"
"大拖","tōa-thoa","A tool for gathering grain.","用來當作曬穀時集中穀子的農具。約二尺半長、一尺多寬的長型木板，上有一柄，兩邊有繩索，由兩人共同拖曳，將大量稻穀集中一處放置處理。"
"大摒掃","tōa-piàⁿ-sàu","Spring cleaning.","大掃除。也引申為對工作項目的整理。"
"大方","tāi-hong","Generous.","慷慨不小氣。"
"大日","tōa-ji̍t/tōa-li̍t","Auspicious day.","吉日。指適合婚喪嫁娶的好日子。"
"大昨日","tōa-cho̍h--ji̍t/tōa-cho̍h--li̍t","The day before yesterday.","大前天。"
"大暑","tāi-sú","Major Heat (solar term).","約當國曆七月廿三日或廿四日。是一年中天氣最熱的時候。"
"大月","tōa-goe̍h/tōa-ge̍h","A long month (31 or 30 days).","國曆三十一天或者農曆三十天的月分。"
"大本","tōa-pún","Large-sized (plant).","大號、大型的植物。"
"大某","tōa-bó͘","First wife.","正室、元配。即大老婆。"
"大欉","tōa-châng","A large plant.","大棵。形容植物長得又高又大。"
"大氣","tāi-khì","Atmosphere.","包圍在地球外層的空氣，由許多種氣體混合成的，其中以氮、氧為主要的成分。"
"大氣","tōa-khùi","To breathe heavily.","大口的呼吸。"
"大氣喘","tōa-khùi-chhoán","Asthma.","哮喘、氣喘。一種呼吸困難的症狀。"
"大港","tōa-káng","A large river.","大河。"
"大湧","tōa-éng","Large waves.","大波浪。"
"大漢","tōa-hàn","Tall and big.","身材高大。"
"大熱","tōa-joa̍h/tōa-loa̍h","Extreme heat.","酷暑。極炎熱的天氣。"
"大爿","tōa-pêng","The larger half.","東西切割或對分之後，占多數或較大的一方。"
"大甲蓆","Tāi-kah-chhio̍h","A high-quality straw mat from Dajia.","大甲地區所產的優質草蓆，為大甲藺草所編，質地柔軟不易脆裂。"
"大目","tōa-ba̍k","Big eyes (used sarcastically).","大眼睛。用來嘲諷人沒有看到近在眼前或目標明顯的東西。"
"大筒","tōa-tâng","A large tube.","大筒子。"
"大箍","tōa-kho͘","Fat.","形容人體肥胖。"
"大箍呆","tōa-kho͘-tai","A fat person (insulting).","罵身材肥胖的人，有嘲笑其反應不靈敏之意。"
"大範","tōa-pān","Poised and natural.","一個人的舉止十分大方、自然，不受拘束。"
"大細","tōa-sè/tōa-sòe","Size.","大小。指一般事物的尺寸大小。"
"大細心","tōa-sè-sim/tōa-sòe-sim","To be partial.","偏心。指人故意偏袒一方，對某一方存私心。"
"大細目","tōa-sè-ba̍k/tōa-sòe-ba̍k","To be biased.","本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。"
"大耳","tōa-hīⁿ/tōa-hī","Gullible.","形容人不辨真假、輕信片面之詞。"
"大聲","tōa-siaⁿ","Loud.","聲音宏大、響亮。"
"大聲話","tōa-siaⁿ-ōe","Exaggeration.","誇大、吹噓的話。"
"大肚胿","tōa-tō͘-kui","Big belly.","指很大的肚子。"
"大腸","tōa-tn̂g","Large intestine.","腸的下部。上接小腸，下連肛門，較小腸粗大而短，可依次分為盲腸、結腸與直腸三部分。大腸可吸收水分和一部分養分，並主宰排泄作用。"
"大腹肚","tōa-pak-tó͘","Big belly.","大肚子。"
"大腿","tōa-thúi","Thigh.","為下肢的一部分，在臀與膝蓋之間。"
"大腿骨","tōa-thúi-kut","Femur.","股骨。大腿裡的骨頭，是全身最長的骨，約占身長的四分之一。"
"大膽","tōa-táⁿ","Bold.","形容人膽量大、不畏怯，也可用於斥責別人無禮、踰越的行為。"
"大舅","tōa-kū","Eldest maternal uncle.","稱謂。指母親的兄弟中年紀最長的。"
"大舌","tōa-chi̍h","To stutter.","口吃。講話結結巴巴、不清不楚。"
"大話","tōa-ōe","To brag.","誇口不實的話。"
"大賣","tōa-bē/tōa-bōe","Wholesale.","批發的生意，指成批買賣商品。"
"大跤胴","tōa-kha-tâng","Thick calves.","蘿蔔腿。小腿肚粗大的腿形。"
"大路","tōa-lō͘","A wide road.","寬敞開闊的道路。"
"大道公","Tāi-tō-kong","A god of medicine (Poh Seng Tai Tay).","保生大帝，為傳統民間信仰的神明，又稱吳真人。俗名為吳夲，北宋太宗年間福建泉州府同安縣人，以醫藥為業，得道後又以除瘟疫為聖行，中醫藥業常供奉為行業神。也是臺灣同安籍人士信奉的鄉土保護神。在臺灣以臺北大龍峒保安宮、蘆洲保和宮和臺南學甲慈濟宮最為著名之主祀廟宇。"
"大量","tāi-liōng","A large quantity.","數量多。"
"大銀","tōa-gîn/tōa-gûn","Large-sized spirit money.","大張的冥紙，上面貼有銀箔。"
"大陣","tōa tīn","A large group of people.","一大群人。"
"大雪","tāi-soat","Major Snow (solar term).","約當國曆十二月七日或八日。為天氣嚴寒之時，在北方已是大雪紛飛，故稱。"
"大面神","tōa-bīn-sîn","Thick-skinned.","厚臉皮。不知羞恥的樣子。"
"大頭拇","tōa-thâu-bú","Thumb.","大拇指。"
"大頭菜","tōa-thâu-chhài","Kohlrabi.","蕪菁。根莖類。根為扁球形，肉質為白色或紅色，球根及嫩葉可以食用。"
"大頷胿","tōa-ām-kui","Goiter.","指甲狀腺腫大，也就是甲狀腺內分泌系統中缺碘的一種代償性反應，若是甲狀腺機能亢進症，則不宜吃海帶、紫菜、鹽等或含碘高的食物。"
"大餅","tōa-piáⁿ","Wedding cake.","喜餅、禮餅。訂婚時女方贈給親友的餅。"
"大麵","tōa-mī","Noodles.","麵條。"
"大鼓","tōa-kó͘","A large drum.","打擊樂器名。"
"大龐","tōa-phiāng","A big person.","大塊頭。形容人的身材高大。"
"天下","thian-hā","The world.","整個世界。"
"天九牌","thian-kiú-pâi","A type of domino game.","天九、牌九。一種紙牌或骨牌的賭博遊戲。"
"天井","thiⁿ-chéⁿ/thiⁿ-chíⁿ","Skylight.","天窗。屋頂上的窗戶。"
"天光","thiⁿ-kng","Dawn.","天亮、破曉。"
"天公","Thiⁿ-kong","The Jade Emperor.","天老爺、老天爺。"
"天公生","Thiⁿ-kong-seⁿ/Thiⁿ-kong-siⁿ","The Jade Emperor's birthday.","俗稱玉皇大帝的誕辰。"
"天公祖","Thiⁿ-kong-chó͘","The Jade Emperor.","老天爺。"
"天公金","Thiⁿ-kong-kim","A type of spirit money for the Jade Emperor.","天金、大壽金。金紙的一種，專門燒給玉皇大帝的金紙，是金紙中最大張的。"
"天反地亂","thiⁿ-hoán-tē-loān/thiⁿ-hoán-tōe-loān","Great chaos.","亂世、天下大亂。形容國家或局勢動亂不安。"
"天地","thiⁿ-tē/thiⁿ-tōe","Heaven and earth.","天空和地表。"
"天堂","thian-tông","Heaven.","信仰宗教者以為人死後居住的快樂世界。"
"天庭","thian-têng","The heavenly court.","天界。神佛居住的地方。"
"天意","thiⁿ-ì","The will of heaven.","上天的旨意，非人類意志所能控制的。"
"天才","thian-châi","Genius.","指天生聰明或者具備天賦才能的人。"
"天文","thian-bûn","Astronomy.","天空中包括日、月、星辰以及風、雲、雨、雪等一切的自然現象。"
"天時","thian-sî","Opportune time.","自然有利的時機。"
"天橋","thian-kiô","Footbridge.","馬路上方便行人穿越馬路而凌空架設的橋梁。"
"天氣","thiⁿ-khì","Weather.","天候。在一定的區域和時間內的氣溫、溼度、氣壓、風向和雨量等狀況。"
"天然","thian-jiân/thian-liân","Natural.","自然形成、天生的，不是人為的。"
"天狗熱","thian-káu-jia̍t/thian-káu-lia̍t","Dengue fever.","登革熱、骨痛熱。病名。由白線斑蚊或埃及斑蚊將病原傳入人體的急性傳染病。患者會有全身疲倦、發燒、畏寒、頭痛及全身肌肉痠痛及皮膚出現紅疹等症狀。"
"天理","thian-lí","Natural law.","天道。自然、倫常的法則。"
"天秤","thian-pêng","A balance scale.","一種用來測量物體重量的工具。"
"天窗","thiⁿ-thang","Skylight.","屋頂上可透光的小窗子。"
"天良","thian-liông","Conscience.","良心。"
"天色","thiⁿ-sek","The color of the sky.","天空的顏色。"
"天頂","thiⁿ-téng","In the sky.","天上。"
"太保","thài-pó","A delinquent boy.","指不良少年。"
"太太","thài-thài","Mrs.","對已婚女子的尊稱。"
"太妹","thài-mōe","A delinquent girl.","不良少女。"
"太平","thài-pêng","Peaceful.","指天下安定無事。"
"太極拳","thài-ke̍k-kûn","Tai chi.","一種拳術，是講究以靜制動、以柔克剛、借力打力的武術運動，兼具防身與健身的效果。"
"太白星","Thài-pe̍k-chheⁿ/Thài-pe̍k-chhiⁿ","The planet Venus.","金星。星名。太陽系中最接近太陽的第二個行星。在民間信仰中也是一位神祇。"
"太白粉","thài-pe̍h-hún","Cornstarch.","將樹薯或玉米磨碎並乾燥成粉狀，於烹調時用作勾芡用。"
"太白酒","thài-pe̍h-chiú","A type of liquor.","相傳為李白所愛喝的酒，用高粱和豌豆等原料做成，主要產在四川省萬縣，臺灣的太白酒以澱粉為釀造原料，主要生產地為埔里酒廠。"
"太監","thài-kàm","Eunuch.","宦官。古時候宮廷中侍奉君王和其家族家屬的官員，由閹割後的男子來擔任。"
"太空","thài-khong","The sky.","指天空。"
"夫人","hu-jîn/hu-lîn","Lady.","古代諸侯或高官顯爵的妻子，也可用來稱現今高官的妻子。"
"夫君","hu-kun","Husband (formal).","妻子對丈夫的敬稱。"
"夫妻","hu-chhe","Husband and wife.","夫婦。"
"夫婦","hu-hū","Husband and wife.","夫妻。"
"夭壽","iáu-siū","To die young.","夭折。短命早死。"
"夭壽仔","iáu-siū-á","A curse word (short-lived).","夭壽、短命鬼。詛咒人短命的用語。"
"夭壽短命","iáu-siū-té-miā","A curse word (short-lived).","短命鬼。詛咒人短命早死的用語。"
"夭折","iáu-chiat","To die young.","短命、早死。指青少壯時死亡。"
"女兒","lú-jî/lú-lî","Daughter (formal","稱謂。父母親稱自己的女兒，此音讀通常出現在戲劇中。"
"子宮","chú-kiong","Uterus.","雌性動物生殖器的主要部分。位於小骨盤內膀胱與直腸之間，以子宮頸與陰道相連，底部兩側與輸卵管相通，為胎兒發育的場所。"
"子弟","chú-tē","Younger generation.","後生小輩。"
"子弟戲","chú-tē-hì","An amateur theatrical troupe.","由農村子弟組成演出的臺灣傳統戲曲，主要為北管，為業餘性質，在廟宇慶典中伴奏或演出。"
"子時","chú-sî","The period from 11 PM to 1 AM.","指晚上十一點到隔天凌晨一點的時間。"
"孔明車","khóng-bêng-chhia","Bicycle.","腳踏車。一種利用雙腳踩踏板前進的兩輪車。"
"孔雀","khóng-chhiok","Peacock.","禽鳥類。生產在熱帶地區，形狀略像雉，體長大約三尺多，翅膀短小，雄性長得特別壯麗，頭上有羽冠，尾巴有長形的羽毛，張開時呈現扇形，很美觀，是著名的觀賞用的鳥類。"
"寒露","hân-lō͘","Cold Dew (solar term).","約當國曆十月八日或九日。時序上進入深秋，但臺灣氣候仍然炎熱，水稻則進入黃熟期。"
"寸尺","chhùn-chhioh","Measurement.","尺寸、法度。"
"小丑仔","siáu-thiú-á","Clown.","戲劇或馬戲團中表演滑稽逗趣腳色的人。"
"小事","sió-sū","A small matter.","小事情。"
"小人","siáu-jîn/siáu-lîn","A person of low character.","品德操守低下，人格卑劣的人。"
"小使","siáu-sú","Errand boy.","小弟、跑腿的。供人差遣的人。"
"小兒科","sió-jî-kho/sió-lî-kho","Pediatrics.","專門診治兒童的醫學分科。"
"小兒麻痺","sió-jî-bâ-pì/sió-lî-bâ-pì","Polio.","急性脊髓灰白質炎。病名。由濾過性病毒所引發的急性傳染病，病毒侵入中樞神經系統，破壞脊椎前角的神經，致使肌肉麻痺萎縮。"
"小叔","sió-chek","Husband's younger brother.","稱謂。稱呼丈夫的弟弟。"
"小口","sió-kháu","Small appetite.","飯量少、食量小。"
"小可仔","sió-khóa-á","A little.","稍微、些微、少許。"
"小名","sió-miâ","Nickname.","乳名、外號。非正式的名字。"
"小囝","sió-kiáⁿ","Brat.","小子。是輕視別人的稱呼。"
"小妹","sió-mōe/sió-bē","Youngest sister.","稱謂。稱呼排行最小的妹妹或泛稱妹妹。"
"小姐","sió-chiá","Miss.","姑娘。稱呼未婚的年輕女子。"
"小姑","sió-ko͘","Husband's younger sister.","稱謂。女子稱呼丈夫的妹妹。"
"小嬸","sió-chím","Wife of a younger brother or husband's younger brother.","弟媳、小嬸子。稱謂。男子稱呼弟弟的妻子或是女子稱呼丈夫弟弟的妻子。"
"小學","sió-ha̍k","Elementary school.","實施初級教育的學校。"
"小寒","siáu-hân","Minor Cold (solar term).","約當國曆一月五日或一月六日。南方雜糧作物收割時期。"
"小工","sió-kang","Odd-job worker.","指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。"
"小弟","sió-tī","Youngest brother.","稱謂。稱最年幼的弟弟或泛稱弟弟。"
"小心","sió-sim","Be careful.","注意、留意。"
"小數","sió-sò͘","A small number.","少數。數額不大。"
"小旦","sió-tòaⁿ","A young female role in opera.","戲劇裡，飾演年輕貌美的女子的角色。"
"小暑","siáu-sú","Minor Heat (solar term).","約當國曆七月七日或七月八日。"
"小月","sió-goe̍h/sió-ge̍h","A short month (29 days).","農曆之中，只有二十九天的月份。"
"小木","sió-ba̍k","A carpenter who makes furniture.","做家具的木工。相反的，「大木」(tōa-ba̍k)是建築房屋的木工。"
"小滿","sió-boán","Grain Buds (solar term).","約當國曆五月廿一日或廿二日。北方一期農作漸趨成熟，南方則為梅雨季。"
"小玉仔","sió-gio̍k-á","A type of small watermelon with yellow flesh.","小玉西瓜。瓜果類。果肉為黃色的西瓜。"
"小生","sió-seng","A young male role in opera.","戲劇裡，飾演年輕男子的角色，包括文生和武生。"
"小白菜","sió-pe̍h-chhài","Bok choy.","葉菜類。形似油菜，葉柄呈白色，可食用，也可以入藥。"
"小票","sió-phiò","Small bills (money).","零鈔。小面額的紙幣。"
"小等","sió-tán","Wait a moment.","等一下、稍等。"
"小管仔","sió-kńg-á","Small squid.","軟體動物名。胴部呈圓錐形或長筒形，鰭較大，多位於後端。腕有十隻，有兩隻較長的觸腕，內有吸盤二行，觸腕穗吸盤四行。"
